'head' : '{Count:1b,ForgeCaps:{"cold_sweat:item_insulation":{insulation:[]}},RCount:1L,id:"infectious:hazmat_suit_helmet",tag:{Damage:0,insulation:[]}}',
'chest' : '{Count:1b,ForgeCaps:{"cold_sweat:item_insulation":{insulation:[]}},RCount:1L,id:"infectious:hazmat_suit_chestplate",tag:{Damage:0,insulation:[]}}',
'legs' : '{Count:1b,ForgeCaps:{"cold_sweat:item_insulation":{insulation:[]}},RCount:1L,id:"infectious:hazmat_suit_leggings",tag:{Damage:0,insulation:[]}}',
'feet' : '{Count:1b,ForgeCaps:{"cold_sweat:item_insulation":{insulation:[]}},RCount:1L,id:"infectious:hazmat_suit_boots",tag:{Damage:0,insulation:[]}}',
'offhand' : '',
0 : '{Count:1b,RCount:1L,id:"minecraft:wooden_pickaxe",tag:{Damage:20}}',
1 : '',
2 : '',
3 : '',
4 : '',
5 : '',
6 : '',
7 : '{Count:1b,RCount:1L,id:"mekanism:dictionary"}',
8 : '{Count:1b,RCount:1L,id:"farmersdelight:beef_stew"}',
9 : '',
10 : '',
11 : '',
12 : '',
13 : '',
14 : '',
15 : '',
16 : '{Count:3b,RCount:3L,id:"marbledsfirstaid:bandaid"}',
17 : '{Count:1b,RCount:1L,id:"farmersdelight:chicken_sandwich"}',
18 : '',
19 : '',
20 : '',
21 : '',
22 : '',
23 : '',
24 : '',
25 : '',
26 : '{Count:1b,RCount:1L,id:"farmersdelight:mutton_wrap"}',
27 : '',
28 : '',
29 : '',
30 : '',
31 : '',
32 : '',
33 : '',
34 : '',
35 : '{Count:1b,RCount:1L,id:"farmersdelight:bacon_sandwich"}',
'effects' : 'cold_sweat:grace;lvl:1;duration:6000',
