'head' : '{Count:1b,ForgeCaps:{"cold_sweat:item_insulation":{insulation:[]}},RCount:1L,id:"infectious:swatarmor_helmet",tag:{Damage:0,insulation:[]}}',
'chest' : '{Count:1b,ForgeCaps:{"cold_sweat:item_insulation":{insulation:[]}},RCount:1L,id:"infectious:swatarmor_chestplate",tag:{Damage:0,insulation:[]}}',
'legs' : '{Count:1b,ForgeCaps:{"cold_sweat:item_insulation":{insulation:[]}},RCount:1L,id:"infectious:swatarmor_leggings",tag:{Damage:0,insulation:[]}}',
'feet' : '{Count:1b,ForgeCaps:{"cold_sweat:item_insulation":{insulation:[]}},RCount:1L,id:"infectious:swatarmor_boots",tag:{Damage:0,insulation:[]}}',
'offhand' : '{Count:1b,RCount:1L,id:"infectious:swat_shield",tag:{Damage:0}}',
0 : '{Count:1b,RCount:1L,id:"superbwarfare:t_baton",tag:{Damage:100}}',
1 : '{Count:1b,RCount:1L,id:"superbwarfare:hk_416",tag:{Attachments:{Barrel:2,Grip:1,Magazine:2,Scope:1,Stock:2},GeckoLibID:108L,GunData:{Ammo:60,CloseStrike:1b},Perks:{}}}',
2 : '{Count:1b,RCount:1L,id:"minecraft:stone_pickaxe",tag:{Damage:50}}',
3 : '',
4 : '',
5 : '',
6 : '',
7 : '{Count:1b,RCount:1L,id:"marbledsfirstaid:first_aid_kit",tag:{Damage:0}}',
8 : '{Count:1b,RCount:1L,id:"farmersdelight:beef_stew"}',
9 : '',
10 : '{Count:64b,RCount:64L,id:"superbwarfare:rifle_ammo"}',
11 : '',
12 : '',
13 : '',
14 : '',
15 : '',
16 : '',
17 : '{Count:1b,RCount:1L,id:"farmersdelight:chicken_sandwich"}',
18 : '',
19 : '{Count:64b,RCount:64L,id:"superbwarfare:rifle_ammo"}',
20 : '',
21 : '',
22 : '',
23 : '',
24 : '',
25 : '',
26 : '{Count:1b,RCount:1L,id:"farmersdelight:mutton_wrap"}',
27 : '',
28 : '{Count:64b,RCount:64L,id:"superbwarfare:rifle_ammo"}',
29 : '',
30 : '',
31 : '',
32 : '',
33 : '',
34 : '{Count:1b,RCount:1L,id:"marbledsfirstaid:pain_pills",tag:{Damage:0}}',
35 : '{Count:1b,RCount:1L,id:"farmersdelight:bacon_sandwich"}',
'effects' : 'cold_sweat:grace;lvl:1;duration:6000',
