'head' : '{Count:1b,ForgeCaps:{"cold_sweat:item_insulation":{insulation:[]}},RCount:1L,id:"infectious:soldier_armor_helmet",tag:{Damage:0,insulation:[]}}',
'chest' : '{Count:1b,ForgeCaps:{"cold_sweat:item_insulation":{insulation:[]}},RCount:1L,id:"infectious:soldier_armor_chestplate",tag:{Damage:0,insulation:[]}}',
'legs' : '{Count:1b,ForgeCaps:{"cold_sweat:item_insulation":{insulation:[]}},RCount:1L,id:"infectious:soldier_armor_leggings",tag:{Damage:0,insulation:[]}}',
'feet' : '{Count:1b,ForgeCaps:{"cold_sweat:item_insulation":{insulation:[]}},RCount:1L,id:"infectious:soldier_armor_boots",tag:{Damage:0,insulation:[]}}',
'offhand' : '',
0 : '{Count:1b,RCount:1L,id:"superbwarfare:electric_baton",tag:{Damage:0,Energy:15000,Open:1b}}',
1 : '{Count:1b,RCount:1L,id:"superbwarfare:m_870",tag:{Attachments:{Barrel:2,Grip:0,Scope:1},GeckoLibID:113L,GunData:{Ammo:8,CloseStrike:1b},Perks:{}}}',
2 : '{Count:3b,RCount:3L,id:"superbwarfare:hand_grenade"}',
3 : '{Count:1b,RCount:1L,id:"minecraft:iron_pickaxe",tag:{Damage:32}}',
4 : '{Count:1b,RCount:1L,id:"grapplemod:grapplinghook",tag:{Damage:0,custom:{angle:20.0d,attract:0b,attractradius:3.0d,crc32:3731891475L,detachonkeyrelease:0b,doublehook:0b,enderstaff:0b,hookgravity:1.0d,maxlen:30.0d,motor:1b,motoracceleration:0.2d,motordampener:0b,motormaxspeed:4.0d,motorwhencrouching:0b,motorwhennotcrouching:1b,oneropepull:0b,phaserope:0b,playermovementmult:1.0d,pullbackwards:1b,reelin:1b,repel:0b,repelforce:1.0d,rocket:0b,rocket_active_time:0.5d,rocket_force:1.0d,rocket_refuel_ratio:15.0d,rocket_vertical_angle:0.0d,smartdoublemotor:1b,smartmotor:0b,sneakingangle:10.0d,sneakingverticalthrowangle:0.0d,sticky:0b,throwspeed:2.0d,verticalthrowangle:0.0d}}}',
5 : '{Count:1b,RCount:1L,id:"superbwarfare:parachute",tag:{Damage:0}}',
6 : '{Count:1b,RCount:1L,id:"superbwarfare:repair_tool",tag:{Attachments:{},Energy:50000,GeckoLibID:115L,GunData:{UUID:[I;234599606,1947946885,-1793492791,470274099]},Perks:{}}}',
7 : '{Count:1b,RCount:1L,id:"marbledsfirstaid:medkit",tag:{Damage:0}}',
8 : '{Count:1b,RCount:1L,id:"farmersdelight:beef_stew"}',
9 : '',
10 : '',
11 : '',
12 : '',
13 : '',
14 : '',
15 : '',
16 : '',
17 : '{Count:1b,RCount:1L,id:"farmersdelight:chicken_sandwich"}',
18 : '',
19 : '',
20 : '',
21 : '',
22 : '',
23 : '',
24 : '',
25 : '',
26 : '{Count:1b,RCount:1L,id:"farmersdelight:mutton_wrap"}',
27 : '',
28 : '{Count:64b,RCount:64L,id:"superbwarfare:shotgun_ammo"}',
29 : '',
30 : '',
31 : '',
32 : '',
33 : '',
34 : '',
35 : '{Count:1b,RCount:1L,id:"farmersdelight:bacon_sandwich"}',
'effects' : 'cold_sweat:grace;lvl:1;duration:6000',
